Company name,Company Twitter,Nb. of Employees,What do they do (Verbatim - 10 words max.)   ,Link to website,HQ City,HQ Country,CEO name,CEO's Twitter,Link to jobpage,employees_amount_id
Lincoln Loop,lincolnloop,1-10,Full service web studio offering user experience & development ,https://lincolnloop.com/,"Chicago, IL ",USA,Peter Baumgartner,ipmb,,1.0
LitCharts,litcharts,1-10,Browse 527 LitCharts Literature Guides,https://www.litcharts.com/,"New York, NY",USA,Ben And Justin,,https://www.litcharts.com/,1.0
Litmus,litmusapp,11-50,Litmus tests and tracks your email campaigns so you can always put your best design forward.,https://litmus.com/,"Cambridge, MA",USA,Paul Farnell,unsalted,https://litmus.com/jobs/,2.0
Littlelines,littlelines,1-10,Connecting the dots since 2007 - Ruby on Rails & Elixir,https://littlelines.com/,"Dayton, OH",USA,Matt Sears ,,,1.0
LiveMentor,_livementor,11-50,Online education website,https://www.livementor.com/,Paris,France,Alexandre Dana,alexandredana,https://livementor.workable.com/,2.0
Living Social,livingsocial,501-1000,Online marketplace that allows clients to buy and share things to do in their city,https://www.livingsocial.com,"Washington, DC",USA,Gautam Thakar,,https://jobs.livingsocial.com,5.0
Localistico,localistico,1-10,Localistico make local businesses easier to find online.,https://localistico.com/,London,UK,Ricardo Varela,phobeo,https://angel.co/localistico/jobs,1.0
loco2,loco2,11-50,Make booking trains anywhere in Europe as easy and affordable as possible,https://loco2.com/,London,UK,Jamie Andrews,jamieandrews,https://loco2.com/en/careers/,2.0
Locus Health,locus_health,11-50,Remote care solutions for population health,https://www.locushealth.com/,"Charlottesville, VA",USA,Kirby Farrell,,,2.0
log,log_oscon,1-10,WordPress and User Experience,https://log.pt/,Lisbon,Portugal,João Gomes,,,1.0
Logical Engine,logicalengine1,11-50,Solve problems with innovative solutions that build better businesses. ,https://www.logicalengine.com/,"Newburyport, MA",USA,Tom Droste,,,2.0
Logikcull,logikcull,51-200,We're putting an end to eDiscovery with Discovery Automation,https://logikcull.com/jobs/,"San Francisco, CA",USA,Andy Wilson,idedupe,https://logikcull.com/jobs,3.0
Logmein,logmein,501-1000,Get In and go with remote access from LogMeIn,https://secure.logmein.com/,"Boston, MA",USA,Michael K. Simon,,https://www.logmeininc.com/careers,5.0
Loom,@useloom,11-50,Faster than typing. We create simple software for you to be your most authentic self ,https://www.useloom.com/,"San Francisco, CA",USA,Joe Thomas,yoyo_thomas,,2.0
Loot Crate,lootcrate,1-10,Loot Crate is the worldwide leader in fan subscription boxes.,https://www.lootcrate.com,"Los Angeles, CA",USA,Chris Davis,,,1.0
Lorem,asklorem,51-200,Don’t waste another second searching for freelance work online.,https://www.asklorem.com/,"New York, NY",USA,Sam Wilcoxon,samwilcoxon,,3.0
LoveToKnow,lovetoknow,51-200,Provides expert advice on the topics you need.,https://www.lovetoknow.com/,"Burlingame, CA",USA,Howard Love,howardlove,https://www.lovetoknow.com/Careers/careers.html,3.0
Loyal,loyalhealth,1-10,Transparency tools for health systems,https://www.loyalhealth.com,"Atlanta, GA",USA,Chad Mallory,chadmallory,https://www.loyalhealth.com/careers,1.0
