Company name,Company Twitter,Nb. of Employees,What do they do (Verbatim - 10 words max.)   ,Link to website,HQ City,HQ Country,CEO name,CEO's Twitter,Link to jobpage,employees_amount_id
Overl.ai,overlai,11-50,Healthcare workflow automation,https://overl.ai/,"New York, NY",USA,Alex Zoller,alexzoller,https://angel.co/overlai/jobs,2.0
Overleaf,overleaf,11-50,Google Docs for Science - online collaborative LaTeX editor,https://www.overleaf.com/,London,UK,John Hammersley,drhammersley,,2.0
owl power,owlp_eu,1-10,"WordPress maintenance services, business apps",https://owlpower.eu,Brasov,Romania,Csaba Miklós,csaby_miklos,https://osda.eu/jobs/company/9/,1.0
Owsy,,1-10,CREATING PRODUCTS FOR FINANCIAL SERVICES FIRMS.,https://owsy.com/,"Venice, CA",USA,Cristian Joe (Only Guy We Find),mrcristianjoe,https://owsy.com/careers/,1.0
Pachama,,1-10,Trusted forest carbon credits.,https://www.pachama.com,"San Francisco, CA",USA,Diego Saez Gil,,,1.0
Pactly,pactlyai,1-10,Understand your contracts instantly,https://pactly.ai/,Singapore,Singapore,Ivan Rawtaer,,,1.0
PageFreezer Software,pagefreezer,11-50,Website & Social Media Archiving for Compliance & eDiscovery,https://www.pagefreezer.com/aboutus/careers/,"Vancouver, BC",Canada,Michael Riedijk,mriedijk,https://pagefreezer-software-inc.breezy.hr/,2.0
Pagely,pagely,11-50,Help World's Biggest Brands Scale WordPress,https://pagely.com/,"Phoenix, AZ",USA,Joshua Strebel,strebel,https://pagely.com/careers/,2.0
Paktor,gopaktor,11-50,Making Meaningful Connections,https://www.gopaktor.com,Singapore,Singapore,Jingshen Ng,,https://www.techinasia.com/companies/paktor,2.0
Palo Alto Insight,,1-10,"Machine learning services for manufacturing, ecommerce, and financial services",https://www.paloaltoinsight.com/english/,"San Francisco, CA",USA,Tomoe Ishizumi,,,1.0
Pandable,pandableco,1-10,We make things happen,https://pandable.co/,London,UK,Lucy Kirkness,,,1.0
Parablesoft,,1-10,Software consultancy,https://parablesoft.com/,"Tampa, FL",USA,,,,1.0
ParcelBright,parcelbright,1-10,offers low UK & International parcel delivery rates with an easy booking system,https://www.parcelbright.com/,London,UK,Daniel Lipinski,,https://www.parcelbright.com/careers,1.0
Parse.ly,parsely,11-50,partners with digital publishers to provide clear audience insights ,https://www.parsely.com/,"New York, NY",USA,Sachin Kamdar,sachinkamdar,https://www.parsely.com/jobs/,2.0
Particular Software,particularsw,11-50,The Particular Service Platform brings powerful capabilities to your application lifecycle. ,https://particular.net/,Haifa ,Israel,Udi Dahan,udidahan,https://particular.net/careers,2.0
PartnerHero,partnerhero,201-500,Global support for your startup.,https://partnerhero.com/,"Boise, ID",USA,Shervin Talieh,calitalieh,,4.0
"Pasilobus, Inc",pasilobushq,1-10,We code to make commerce better,https://pasilobus.recruiterbox.com/,,USA,Uğurcan Kaya,,https://www.pasilobus.com,1.0
Passel,passel_io,1-10,Privacy and security tools made easy,https://passel.io/,"New Jersey, NJ",USA,Peter Dipreta,,,1.0
Patients Know Best,patientsco,11-50,Patient-controlled medical records.,https://www.patientsknowbest.com/,Cambridge,UK,Mohammad Al-Ubaydli,idiopathic,https://www.patientsknowbest.com/careers.html,2.0
Paylocity,paylocity,1001-5000,Elevate the profession of Payroll and Human Resources,https://www.paylocity.com/,"Heights, IL",USA,Steven Raymond Beauchamp,,https://www.paylocity.com/careers/,6.0
Paylock,,11-50,Offers a suite of parking management services,https://paylock.com/jobs/,"New Jersey, NJ",USA,Cory Marchasin,,https://paylock.com/jobs/,2.0
Payroll Panda,,1-10,Cloud payroll for South-East Asian Businesses,https://www.payrollpanda.my/,Kuala Lumpur,Malaysia,Asim Qureshi,,,1.0
Peak Games,peakgames/,201-500,We scale games that host tens of thousands of concurrent users.,https://peak.games/,Istanbul,Turkey,Sidar Sahin,sidars,https://peak.games/job,4.0
Peerfit,peerfit,11-50,Redefine Wellness at Work,https://pulse.peerfit.com/hiring/,CA,USA,Ed Buckley,edbucklll,https://pulse.peerfit.com/hiring/,2.0
PeopleDoc,peopledoc_inc,51-200,HR Service Delivery in the Cloud,https://www.people-doc.com/company/careers,Paris,France,Jonathan Benhamou,johnbenhamou,https://www.people-doc.com/company/careers,3.0
PeopleG2,peopleg2,51-200,Risk Management solutions specialized for the Human Capital world,https://www.peopleg2.com/,"Brea, CA",USA,Chris Dyer,chrisdyer7,https://www.peopleg2.com/about/careers-at-peopleg2/,3.0
Percona,percona,51-200,Open Source Database Software and Services Expertise.,https://percona.com/about-percona,"Raleigh, NC",USA,Peter Zaitsev,peterzaitsev,,3.0
Perfect Keto,perfectketones,1-10,"Low carb, high growth",https://perfectketo.com/,"Austin, TX",USA,,,,1.0
PersistIQ,persistiq,1-10,The Smart Outbound Sales Platform,https://jobs.lever.co/persistiq,"San Mateo,CA",USA,Pouyan Salehi,psalehi,https://jobs.lever.co/persistiq,1.0
Piggy,joinpiggy,11-50,The easiest way to SAVE!,https://www.joinpiggy.com/,Florida,USA,John Anderson,,,2.0
Pindrop,pindrop,201-500,Voice fraud prevention & authorization.,https://pindrop.com,"Atlanta, GA",USA,Vijay Balasubramaniyan,vijay_voice,https://www.pindrop.com/pindrop-careers/,4.0
Pinn,pinntech,11-50,Develops technologies to solve the most complex digital identity challenges ,https://www.pinn.ai/,"Redwood city, CA",USA,Will Summerlin,,,2.0
Pipedrive,pipedrive,51-200,Sales pipeline software that gets you organized. ,https://www.pipedrive.com/,"New York, NY",USA,Timo Rein,timorein,https://www.pipedrive.com/en/jobs,3.0
Pitch,pitch,1-10,An open platform for presentations and content collaboration,https://pitch.com/,Berlin,Germany,Christian Reber,,,1.0
Pivotal Labs,pivotallabs,1001-5000,Pivotal Labs delivers results in mobile like no one else in their business,https://pivotal.io/labs,"San Francisco, CA ",USA,Edward Hieatt,edwardhieatt,https://pivotal.io/careers,6.0
Pixel2HTML,pixel2html,11-50,Front-End Development Company,https://pixel2html.com,Buenos Aires,Argentina,Diego Alejandro Peralta,,https://pixel2html.com/jobs.html,2.0
PixelHaus Media,pixelhausmedia,1-10,Advertising and growth agency helping brands achieve sky-high ROI.,https://www.pixelhaus.media,Amsterdam,The Netherlands,Mirella Crespi,mirellacrespi,,1.0
Pixels for Humans,pixelsforhumans,11-50,Work with SaaS startups to create intentional businesses that care,https://measured.pixelsforhumans.com/,"Boston, MA",USA,,,,2.0
Planet OS,planet_os,11-50,Designed to streamline complex data workflows,https://planetos.com,"Sunnyvale, CA",USA,Rainer Sternfeld,rsternfeld,https://planetos.com/jobs/,2.0
Platform.sh,platformsh,11-50,CONTINUOUS DEPLOYMENT CLOUD HOSTING,https://platform.sh/,Paris,France,Fred Plais,fredplais,https://platform.sh/company/jobs/,2.0
Plex,plex,51-200,Your media on all your devices,https://www.plex.tv/,Stans,Switzerland, Keith Valory,kvalory,https://www.plex.tv/about/careers/,3.0
Podia,podia,1-10,"Sell memberships, online courses, and digital downloads to your audience",https://podia.com,"New York, NY",USA,Spencer Fry,spencerfry,,1.0
Pond5,pond5,51-200,Help filmmakers fulfill their creative vision.,https://www.pond5.com/,"New York, NY",USA,Jason T. Teichman,,,3.0
Postlight,postlightstudio,11-50,Builds and designs apps for web and mobile.,https://postlight.com/?,"New York, NY",USA,Paul Ford,ftrain,https://postlight.recruiterbox.com/,2.0
Postmark,postmarkapp,1-10,"Delivers your transactional email to customers on time, every time.",https://postmarkapp.com/,"Philadelphia, PA",USA,,,,1.0
Power Diary,mypowerdiary,1-10,Provide health practitioners with the ultimate Practice Management Software,https://www.powerdiary.com/,"Ballarat Central, Victoria",Australia,Damien Adler,,,1.0
Precision Nutrition,insidepn,51-200,Online nutrition and fitness coaching,https://www.precisionnutrition.com/,Toronto ,Canada,Phil Caravaggio,philcaravaggio,https://www.precisionnutrition.com/careers,3.0
Pressable,pressable,1-10,Where WordPress Works Best,https://pressable.com,"San Antonio, TX",USA,Jeff Mulholland,jeffmulholland,https://pressable.com/careers/,1.0
PreviousNext,previousnext,1-10,Australian based Drupal agency.,https://www.previousnext.com.au/about/careers,Sydney,Australia,,,https://www.previousnext.com.au/about/careers,1.0
Prezly,prezly,1-10,Connect your content with your influencers.,https://www.prezly.com/careers,,Belgium,Gijs Nelissen,digitalbase,https://www.prezly.com/careers,1.0
Proactive Digital Insights,proactivedi,1-10,Augment and amplify the impact of Home Instead Senior Care,https://www.proactivedigitalinsights.com/,"Omaha, NE",USA,Tom T. Shen,,,1.0
Product Hunt,producthunt,11-50,"A curation of the best new products, every day",https://producthunt.com/,"San Francisco, CA",USA,Ryan Hoover,rrhoover,https://www.producthunt.com/jobs,2.0
Productive Power,,1-10,Help professionals master their digital lives so they can achieve their greatest potential.,https://productivepower.applytojob.com/,"Miami, FL",USA, Brett Spodak,bspodak,https://productivepower.applytojob.com,1.0
Proemion,proemion,51-200,Telematics Solutions for industrial applications,https://career.proemion.com/en/jobs.html,,Germany,Robert Michaelides,,https://www.proemion.com/,3.0
ProFinda,profinda,1-10,"Maps the skills, knowledge and expertise available across an organisation's talent",https://www.profinda.com/,London,UK,Roger Gorman,,,1.0
Protocol Labs,protocollabs,11-50,Develops IPFS and Filecoin.,https://ipn.io/,"Palo Alto, CA",USA,Juan Benet,juanbenet,https://angel.co/protocol-labs/jobs,2.0
PSPDFKit,pspdfkit,11-50,The Best Way to Handle PDF Documents on any platform.,https://pspdfkit.com/,Vienna,Austria,Peter Steinberger,,,2.0
Punchpass,punchpass,1-10,Help small fitness studios manage their customers,https://punchpass.com/,Vermont,USA,Chris Patton,,,1.0
Puppet Labs,puppetize,201-500,Puppet Labs is an information technology automation software company,https://puppet.com/,"Portland, OR",USA,Sanjay Mirchandani,mirchi111,https://puppet.com/company/careers,4.0
Purepoint,,1-10,Innovative software that solves big business problems,https://purepoint.io/,London,UK,Freddie Smith,,,1.0
Purple Voice,purplevoiceltd,1-10,Mobile application development,https://www.purplevoice-web.design,Bangkok,Thailand,Raphael Tant,,https://www.purplevoice-web.design/jobs.html,1.0
Qikker Online,qikkeronline,1-10,Qikker Online is a fast-growing digital agency,https://www.qikkeronline.nl/,Amsterdam,The Netherlands,Michiel Willekens ,,,1.0
Quantum Mob,quantummob,1-10,Software Consulting,https://www.quantummob.com/,Toronto,Canada,Erich Reich,reicherich,https://www.quantummob.com/careers/,1.0
Quartzy,quartzy,11-50,Helping scientists discover the future,https://www.quartzy.com/about,"Palo Alto, CA",USA,Jayant Kulkarni,jkulki,https://www.quartzy.com/careers,2.0
Rackspace,rackspace,1001-5000,Public Cloud Infrastructure ,https://rackspace.jobs/remote/none/usa/jobs/software-development/new-jobs/,"San Antonio, TX",USA,Joe Eazor,joe_eazor,https://rackspace.jobs/,6.0
railroad19,,11-50,Custom Software And Cloud Platform Needs.,https://www.railroad19.com/#careers,"Saratoga Springs, NY",USA,John Luttmer,,https://www.railroad19.com/#careers,2.0
Railsformers,railsformers,11-50,We have been programming with Ruby on Rails,https://railsformers.com/,Ostrava,Czech Republic,Jiri Kubica,jirikubica,https://angel.co/railsformers,2.0
RainforestQA,rainforestqa,11-50,Quality Assurance as a Service,https://www.rainforestqa.com/,"San Francisco, CA",USA,Fred Stevens-Smith,fredsters_s,https://www.rainforestqa.com/jobs/,2.0
Raising the floor,raisingthefloor,11-50,Evolving the GPII to make IT access simpler and more affordable for everyone,https://raisingthefloor.org/,,,,,,2.0
RaRe Technologies,raretechteam,1-10,Where cutting edge data science meets robust engineering.,https://rare-technologies.com/,,Czech Republic,Radim Řehůřek,radimrehurek,https://rare-technologies.com/careers/,1.0
Reaction Commerce,getreaction,11-50,"Open source ecommerce platform. Node.js, MongoDB, Kubernetes, Docker.",https://reactioncommerce.com/about,"Los Angeles, CA",USA,Sara Hicks,saralouhicks,https://reactioncommerce.com/,2.0
Real HQ,realhq,51-200,Maker of Agent Pronto,https://realhq.com/jobs/,"Austin, TX",USA,Dave Peters,,https://realhq.com/jobs/,3.0
Receiptful,receiptful,11-50,Receiptful is an API that enables its users to send beautiful emails,https://receiptful.com/,London,UK,Adii Pienaar,adii,https://angel.co/receiptful,2.0
ReCharge,rechargepayment,11-50,empower stores by making payments easy for everyone.,https://rechargepayments.com/about,"Santa Monica, CA",USA,Oisin O'Connor,,https://rechargepayments.com/about,2.0
Recognize Services,,11-50,"Helping companies communicate company values, while retaining top employees.",https://recognizeapp.com/,"Oakland, CA",USA,,,,2.0
Recruiterbox,recruiterbox,11-50,Recruitment software,https://recruiterbox.com/,"San Francisco, CA ",USA,Raj Sheth,whoisraj,https://recruiterbox.com/company/about-us/#careers,2.0
Recurly,recurly,51-200,Recurring billing management for subscription-based businesses,https://recurly.com/,"San Francisco, CA ",USA,Dan Burkhart,,https://angel.co/recurly,3.0
Red Guava,redguava,11-50,"Smart people, Simple software",https://www.redguava.com.au/,"Melbourne, VIC",Australia,Liora,,,2.0
Red Hat,redhatnews,1001-5000,Open source software company,https://www.redhat.com,"Raleigh, North Carolina",USA,James M. Whitehurst,jwhitehurst,https://www.redhat.com/en/jobs,6.0
Redox,redox,11-50,Redox is the modern API for healthcare,https://www.redoxengine.com/careers,"Madison, WI",USA,Niko Skievaski,niko_ski,https://www.redoxengine.com/careers,2.0
Reinteractive,reinteractive,11-50,Confident software with Ruby on Rails and JavaScript,https://reinteractive.com/,Sydney,Australia,Mikel Lindsaar,lindsaar,,2.0
Relayto,relayter,1-10,Interactive & measurable document experience,https://relayto.com/,London,UK,Alex Shevelenko ,shevelenko,https://relayto.com/careers,1.0
RemoteYear,remoteyear,11-50,A foundation for professionals to work & explore the world as part of a vibrant global community. ,https://remoteyear.com,,USA,Greg Caplan,gdcaplan,,2.0
RepeaterStore,repeaterstore,1-10,Improve cell phone reception inside buildings,https://www.repeaterstore.com/,"Laguna Hills, CA",USA,Brendan Gill,brendan_gill,,1.0
Replay Gaming,replaygamesinc,1-10,Fast growing UK social gaming company that operates Replay Poker ,https://www.replaygamesinc.com/,London,UK,Paul Trowe,ptrowe,https://replaygaming.recruiterbox.com,1.0
resin.io,resin_io,11-50,DevOps for IoT,https://resin.io/,"Seattle, WA",USA,Bryan Hale,halebr,https://resin.workable.com/,2.0
Restorepoint,restorepoint,11-50,"Disaster Recovery, Automation and Compliance for Networks",https://www.restorepoint.com,"Woking, Surrey",UK,Riccardo Valente,,,2.0
retail-zipline,retailzipline,1-10,"Built by Retail, for Retailers",https://retailzipline.com/about.html,"Vancouver, BC",Canada,Melissa Wong,https://angel.co/melissa-wong-4,https://retailzipline.com/about.html,1.0
RetailNext,retailnext,51-200,Analytics for physical retail stores.,https://retailnext.net/en/home/,"San Jose, CA",USA,Alexei Agratchev,agratchev,https://retailnext.net/en/about-us/career-openings/,3.0
Retrospect,retrospectinc,11-50,Retrospect develops backup software for small businesses,https://www.retrospect.com/,"Wallnut Creek, CA",USA,Jg Heithcock,jgheithcock,,2.0
Revolution Messaging,revmsg,11-50,Full service digital agency fighting for progressive causes.,https://revolutionmessaging.com/,"Washington, DC",USA,Scott Goodstein,,,2.0
RightScale,rightscale,11-50,Save money. Streamline operations.,https://www.rightscale.com/jobs,"Santa Barbara, CA",USA,Jonathan Siegel,usiegj00,https://www.rightscale.com/,2.0
rmotr.com,rmotr_com,1-10,Remote programming courses and workshops,https://rmotr.com/,,,Santiago Basulto,santiagobasulto,https://angel.co/rmotr-com,1.0
Roadtrippers,roadtrippers,51-200,"Travelers can seamlessly discover, plan & book their next trip, all in one place",https://jobs.roadtrippers.com/apply/,"Cincinnati, OH",USA,James Fisher,bantheinternet?lang=en,https://jobs.roadtrippers.com/apply/,3.0
Rocana,rocanainc,51-200,Rocana is the next generation of IT Operations Analytics,https://www.rocana.com/,"Boston, MA",USA,Omer Trajman,otrajman,https://www.rocana.com/careers,3.0
Rocketrip,rocketrip,51-200,Rocketrip helps enterprise companies reduce travel costs ,https://www.rocketrip.com/,"New York, NY",USA,Dan Ruch,,,3.0
Run the World Digital,,11-50,Progressive political and non-profit digital fundraising firm,https://www.runtheworlddigital.com/,"Madison, WI",USA,Heather Colburn,,,2.0
sailteam.io,sailteamio,51-200,Recruiting and Staffing services for Salesforce talent,https://jobs.sailteam.io/,"Orlando, FL",USA,Brandon Kievit,brandonklevit,https://sailteam.io,3.0
Salesforce,salesforce,"10,001+",CRM SaaS,https://www.salesforce.com/fr/?ir=1,"San Francisco, CA",USA,Marc Benioff,benioff,https://www.salesforce.com/company/careers/,8.0
SalesHoo,salehoo,11-50,Online selling directory ,https://www.salehoo.com,Chistchurch,New Zealand,Simon Slade,,,2.0
Salesmsg,salesmsg,1-10,"Simple, scalable, two-way business texting.",https://www.salesmessage.com/,"Denver, CO",USA,Chris Brisson,,,1.0
Sanborn,sanbornagency,11-50,Digital media agency,https://sanbornagency.com/work/,"New York, NY",USA,Chris Sanborn,,,2.0
Sapien,sapien_network,1-10,"A highly customizable, democratized social news platform ",https://www.sapien.network/,,USA,Ankit Bhatia,,https://www.sapien.network/,1.0
Savvy Apps,savvyapps,1-10,. mobile design and mobile development company ,https://savvyapps.com/careers,"Washington, D.C.",USA,Ken Yarmosh,kenyarmosh,https://savvyapps.com/careers,1.0
Savvy Navvy,getsavvynavvy,1-10,"The ""Google Maps"" for sailors...",https://www.savvy-navvy.com,London,UK,Jelte Liebrand,,,1.0
ScheduleOnce,scheduleonce,51-200, easy-to-use appointment scheduler ,https://www.scheduleonce.com/careers/home,"Walnut, CA ",USA,Rami Goraly,scheduleonce,https://www.scheduleonce.com/careers/,3.0
ScienceLogic,sciencelogic,201-500,Hybrid IT Monitoring,https://www.sciencelogic.com/,"Reston, Virginia",USA,Dave Link,dave_f_link,https://www.sciencelogic.com/company/careers,4.0
Scrapinghub,scrapinghub,51-200,Scrapinghub provides the leading technology and consulting services,https://scrapinghub.com/,Cork,Ireland,Pablo Hoffman,pablohoffman,https://scrapinghub.com/jobs/,3.0
Screenly,screenlyapp,1-10,Digital Signage powered by Raspberry Pis,https://www.screenly.io/,London,UK,Viktor Petersson,vpetersson,https://remotebase.io/company/screenly/jobs,1.0
Security Roots,securityroots,1-10,Collaboration tools for IT Security teams.,https://securityroots.com,London,UK,Daniel Martin,etdsoft,https://securityroots.com/careers.html,1.0
Seeq,seeqcorporation,51-200,Advanced analytics for process manufacturing data,https://seeq.com/,Seattle,USA,Steve Sliwa,,,3.0
Seez,seezrapp,11-50,Seez R searches the entire car market from one place. ,https://seez.co,Lebanon,Beirut,Tarek Kabrit,,,2.0
Semaphore CI,semaphoreci,11-50,platform that makes development teams move faster,https://semaphoreci.com/about/careers,Novi Sad,Serbia,Darko Fabijan,darkofabijan,,2.0
Sencha Inc,sencha,51-200,Enterprise Javascript Frameworks,https://www.sencha.com/,"Redwood City, CA",USA,Art Landro,,https://www.sencha.com/company/careers/,3.0
Sendible,sendible,11-50,Make managing social media easier for marketing teams ,https://www.sendible.com/,London,UK,Gavin Hammar,,,2.0
SenorCoders,senorcoders,1-10,We build high-end custom WP websites,https://www.senorcoders.com/,,Nicaragua,,,,1.0
Server Density,serverdensity,11-50,Server Density is a SaaS product that helps u,https://www.serverdensity.com/,London,England,David Mytton,davidmytton,https://www.serverdensity.com/jobs/,2.0
ServiceNow,servicenow,11-50,Enterprise cloud computing,https://www.servicenow.com/,"San Jose, CA",USA,John Donahoe,donahoe_john,https://www.servicenow.com/company/executive-team.html,2.0
SevenAtoms,sevenatomsbuzz,1-10,The leading digital marketing growth engine for our customers,https://www.sevenatoms.com/,"San Francisco, CA",USA,Andy Beohar,,,1.0
ShakaCode,shakacode,11-50,"We build custom web & mobile applications, with Rails, React, and Swift.",https://www.shakacode.com/,"Hawaii, HI",USA,Justin Gordon,railsonmaui,https://www.shakacode.com/about/,2.0
Sherpany AG,sherpany,11-50,Insights on #Boards #digital transformation & #BoardMembers practices,https://www.sherpany.com/en/careers/,Zurich,Switzerland,Tobias Häckermann,,https://www.sherpany.com/,2.0
Shield GEO,shieldgeo,11-50,International Employment Made Simple,https://shieldgeo.com/,London,UK,Duncan Macintosh,,,2.0
shiftling,,1-10,Change the way work is done in MENA,https://www.shiftling.com/,,,,,,1.0
Shopify,shopify,1001-5000,An e-commerce platform,https://www.shopify.com,"Ottawa, Toronto",Canada,Tobias Lütke,tobi,https://www.shopify.com/careers,6.0
Shortfundly,shortfundly,11-50,Connecting platform for short film filmmakers,https://www.shortfundly.com/,Chennai,India,,,https://angel.co/shortfundly/jobs,2.0
SignIQ,signiq,11-50,Connecting retailers with the modern in-store shopper,https://www.signiq.com/,"Perth, WA",Australia,Ben Hoffman,,,2.0
Simbiose Ventures,,11-50,"We are a startup studio, a company that creat",https://www.simbioseventures.com/,Ṣao Paulo,Brazil,Gabriel Menegatti,gamenegatti,https://remoteok.io/remote-startups/simbiose-ventures,2.0
Simple,simple,51-200,Best Personal finance product you've ever used.,https://simple.com,"Portland, OR",USA,Joshua Reich,i2pi,https://www.simple.com/careers,3.0
Simplecast,simplecast,1-10,The easiest way for podcasters to publish and distribute audio on the internet.,https://simplecast.com/,"Troy, NY",USA,Brad Smith,,https://simplecast.com/,1.0
SiteGround,siteground,201-500,Webhosting crafted with care,https://www.siteground.com/careers,Sofia,Bulgaria,Tenko Nikolov,tnikolov,https://www.siteground.com/careers,4.0
Sitemate Technologies,,1-10,"Document assembly, automation and analytics - built for the industries.",https://sitemate.com/,"Sydney, NSW",Australia,Hartley Pike,,,1.0
Sked Social,getskedsocial,11-50,Social media scheduling and publishing,https://skedsocial.com/,"Melbourne, VI",USA,Hugh Stephens,,,2.0
Sketch,sketch,11-50,Award-winning Mac application for designers,https://www.sketch.com,The Hague,Netherlands,Pieter Omvlee,pieteromvlee,,2.0
SketchTogether.com,sketchtogether,11-50,The whiteboard that matches how we work today,https://sketchtogether.com,,USA,Nicolas Mangano ,nfmangano,,2.0
Skillshare,skillshare,51-200,Skillshare is a learning community for creators.,https://www.skillshare.com/,"New York, NY",USA,Michael Karnjanaprakorn,mikekarnj,https://www.skillshare.com/careers,3.0
Skore,skorehq,11-50,Collaborative knowledge management,https://www.skore.io/,Sao Paulo,Brazil,Luis Novo,lfnovo,https://careers.skore.io/,2.0
Skycrapers,,1-10,Applied cloud and devops solutions,https://skyscrapers.eu/team,Hoevenen,Belgium,Frederik Denkens,fdenkens,https://skyscrapers.eu/jobs/lead-engineer,1.0
Slite,slitehq,11-50,Create your company wiki. Collaborate on projects. Take meeting notes.,https://slite.com,,,Christophe Pasquier,christophepas,,2.0
Small Improvements,smallimprove,1-10,We help employees grow and succeed,https://www.small-improvements.com/,Berlin,Germany,Per Fragemann,perfragemann,,1.0
SmileDirectClub,smiledirectclub,1001-5000,Smiles Are Forever,https://smiledirectclub.com/about/,"Nashville, TN",USA,Doug Hudson,,https://smiledirectclub.applicantstack.com,6.0
SMTP2GO,smtp2go/,11-50,Email delivery done right,https://www.smtp2go.com/,Christchurch,New Zealand,Charlie Abrahamson,,,2.0
SOASTA,soastainc,11-50,Web Performance & Testing,https://www.soasta.com/,"San Francisco, CA",USA,Tom Lounibos,lounibos,https://www.soasta.com/careers/,2.0
Social Chorus,socialchorus,11-50,Workforce communications platform that transforms how workers & organizations connect,https://www.socialchorus.com/,"San Francisco, CA",USA,Gary Nakamura,,,2.0
Sococo,sococo,11-50,Revolutionizing online business communication.,https://www.sococo.com,"San Jose, CA",USA,Cliff Pollan,cliffpollan,https://www.indeed.com/cmp/Sococo,2.0
Software Solutions Consulting,softsolweb,11-50,"We identify, design and develop solutions to maximize productivity",https://www.softwaresolutionsweb.com/,"Ronkonkoma, NY",USA,,,,2.0
SoftwareMill,softwaremill,11-50,Custom software by true engineers,https://softwaremill.com/,Poland,Poland,Adam Warski,adamwarski,https://softwaremill.com/join-us/,2.0
Sonatype,sonatype,201-500,Automate Open Source Security.,https://www.sonatype.com/,"Fulton, MD",USA,Wayne Jackson,,,4.0
Songspace,songspace,11-50,"Helps music creators collaborate, catalog, and share work with their professional team",https://songspace.com/about,"Nashville, TN",USA,Robert Clement,,https://songspace.com/,2.0
Sopris Health,soprishealth,11-50,Intelligent Clinical Operations,https://www.soprishealth.com/,"Denver, CO",USA,Patrick Leonard,,,2.0
Soshace,hisoshace,11-50,Professional developers you can trust,https://soshace.com/,St Petersburg,Russia,Nikita Bragin,,,2.0
Sourcefabric,sourcefabric,11-50,Open Source Tools for Journalism,https://www.sourcefabric.org/,Prague,Czech Republic,Sava Tatić,tictactatic,https://www.sourcefabric.org/,2.0
SparkLabs,sparklabs,1-10,Creating powerful desktop and mobile apps.,https://www.sparklabs.com,,Australia,James Bekkema,jbekkema,https://angel.co/jobs?slug=sparklabs,1.0
Spatial Key,spatialkey,11-50,Geospatial Data Visualization,https://www.spatialkey.com/,"Denver, CO",USA,Tom Link,,https://www.spatialkey.com/jobs,2.0
Speedchecker,internetspeed,11-50,Internet performance monitoring,https://www.speedchecker.xyz/,Dublin,Ireland,Janusz Jezowicz,,,2.0
Spotify,spotify,1001-5000,Music for everyone,https://www.spotify.com/,Stockholm,Sweden,Daniel Ek,eldsjal,https://www.spotify.com/fr/jobs/,6.0
Spreaker,spreaker,11-50,Podcasting platform,https://www.spreaker.com/,"San Francisco, CA",USA,Francesco Baschieri,thebask,https://www.spreaker.com/jobs,2.0
Squash Labs,labssquash,1-10,Our automated testing service allows developers to spend more time innovating,https://squash.io/,"Vancouver, BC",Canada,Evandro Miquelito,emiquelito,,1.0
Stack Exchange,stackexchange,1-10,Community-driven question and answer sites,https://stackexchange.com/,"New York, NY",USA,Joel Spolsky,spolsky,https://stackoverflow.com/company/work-here,1.0
Stack Overflow,stackoverflow,51-200,We help millions of people find expert answers and amazing jobs every day.,https://stackoverflow.com/,"New York, NY",USA,Joel Spolsky,spolsky,https://stackoverflow.com/company/work-here,3.0
Staff Squared,staffsquared,11-50,"Finally, somebody made great HR software for small and medium businesses",https://www.staffsquared.com/,London,England,Simon Swords,simonswords,,2.0
Starcoders,starcoders_com,11-50,Web development company.,https://starcoders.com/,Ghent,Belgium,Joël Craenhals,joelcraenhals,https://starcoders.com/#/,2.0
Statement,statement,1-10,We help companies grow in a digital world,https://www.statementagency.com/,Westgate,UK,,,,1.0
StayWell,staywellcompany,501-1000,Improving health,https://www.staywell.com/,"Yardley, PA",USA,Nicole Latimer,,,5.0
SteepRock,steeprockinc,11-50,Life science relationship management.,https://www.steeprockinc.com/,"Washington Depot, CT",USA,Christopher Heye	,,,2.0
Sticker Mule,stickermule,51-200,Create custom stickers that kick ass,https://www.stickermule.com/,"New York, NY",USA,Anthony Thomas,,,3.0
Sticky,stickyalbums,11-50,Helping Photographers Be Better Marketers,https://stickymarketingtools.com,MN,USA,Nate Grahek,nategrahek?lang=en,,2.0
Strategyzer,strategyzer,1-10,Business Model Canvas,https://strategyzer.com/,Toronto,Canada,Alex Osterwalder,,,1.0
Stripe,stripe,201-500,Stripe is the best way to accept payments,https://stripe.com,"San Francisco, CA",USA,Patrick Collison,patrickc,https://stripe.com/jobs,4.0
Student Loan Hero,studentloanhero,51-200,Help 44 million Americans manage and repay over $1.4 trillion in student loan,https://studentloanhero.com/careers/,"Austin, TX",USA,Andrew Josuweit,josablack,https://studentloanhero.com/careers/?gh_jid=784488,3.0
"Sucuri, Inc",sucurisecurity,51-200,"Website Protection, Monitoring & Remediation",https://sucuri.net/,,USA,Tony Perez,perezbox,https://sucuri.net/company/employment/,3.0
SugarCRM,sugarcrm,501-1000,Customer Relationship Management Tool,https://www.sugarcrm.com/,"Cupertino, CA",USA,Larry Augustin,lmaugustin,https://www.sugarcrm.com/about/careers,5.0
Sulvo,sulvox,1-10,"Higher revenue, deeper insights.",https://sulvo.com/,,USA,Romeo Ju,,https://sulvo.com,1.0
Superble,superbleteam,1-10,Help everyone to make the right purchasing decisions,https://superble.com,"New York, NY",USA,Nicolo Robba,,,1.0
